prec,tmin,tmax,rhum,srad,wspd
0,48.902,74.318,39.489,317.126,10.88
0,38.84,71.24,54.517,419.979,4.745
0,33.636,72.896,50.892,407.841,5.308
0,41.445,81.284,44.76,400.813,6.361
0,43.214,82.706,44.297,391.831,7.503
0,59.072,92.408,36.614,371.306,8.111
0,53.15,85.082,37.291,379.764,9.131
0,57.65,83.174,41.194,212.708,13.944
0,64.976,81.986,52.548,203.382,14.733
0.03,61.79,80.708,64.773,134.095,8.41
0.04,56.336,80.924,73.223,274.511,7.58
0.13,51.386,72.77,73.86,330.704,5.259
0,46.886,78.08,64.844,328.89,7.904
0.17,51.962,68.882,80.941,135.819,5.9
0,44.87,73.004,49.909,358.884,8.45
0,35.166,60.494,54.431,146.936,8.405
0,30.079,73.958,52.22,340.088,6.452
0,33.989,63.086,57.803,238.152,7.214
0.24,33.636,50.216,82.892,69.02,6.077
0,31.977,53.132,58.859,300.701,10.875
0,27.471,48.29,59.449,344.52,9.429
0,25.462,52.898,69.549,336.859,5.654
0,25.821,71.582,57.325,320.091,3.902
0.01,35.283,60.728,82.163,120.752,3.453
0,33.042,78.206,60.712,308.553,4.891
0,35.283,78.8,47.591,279.124,7.598
0,42.976,71.348,54.125,279.103,10.312
0,42.028,51.494,69.506,99.194,8.912
0,26.053,55.976,54.544,277.061,4.854
0,23.923,57.164,47.378,296.304,6.248
0,22.748,64.85,43.649,230.638,6.6
0,28.301,61.322,43.324,274.337,10.306
0,21.205,67.226,46.74,287.315,5.996
0,36.707,64.958,59.211,269.749,7.028
0.68,34.453,48.182,75.005,15.171,15.919
0,24.042,50.288,64.755,290.491,6.224
0,22.392,54.806,71.359,278.997,8.149
0,40.728,60.242,67.249,220.366,15.642
0,30.079,56.21,56.521,270.378,9.172
0.54,23.331,56.57,69.957,177.041,5.71
0.14,39.423,45.104,78.606,50.846,11.437
0,25.819,49.118,58.842,264.439,10.179
0,24.042,47.462,49.072,267.62,6.69
0,23.212,66.506,53.096,256.248,4.991
0,31.383,55.742,73.464,143.929,6.21
0,34.218,54.464,63.099,147.094,8.985
0,38.001,59.396,49.824,236.596,7.614
0,23.212,54.554,50.471,229.908,9.229
0,16.34,43.203,50.372,212.457,6.172
0,13.496,49.118,52.85,244.853,9.76
0,35.049,56.462,59.135,210.813,10.436
0,22.026,47.606,85.969,24.691,10.985
0,16.574,33.15,78.092,174.199,6.42
0,13.748,37.056,81.487,130.977,3.203
0,25.932,44.044,89.393,82.623,3.903
0,25.7,54.212,84.728,197.476,5.537
0,30.672,72.176,60.787,216.529,10.803
0,43.214,57.992,81.662,70.206,9.165
0,35.758,46.526,61.63,125.719,17.333
0,13.622,39.303,53.395,221.257,9.1
0,10.31,48.758,54.554,210.248,5.868
0,16.826,44.386,54.4,208.445,7.679
0,16.232,53.042,45.699,130.309,7.652
0,9.95,36.115,64.727,44.467,12.393
0,3.2,38.235,67.786,197.569,8.162
0,24.98,35.402,98.858,19.464,8.714
0,0.104,25.918,88.314,228.198,3.948
0,-1.066,22.505,83.855,106.223,9.381
0,-6.646,13.964,85.868,210.029,4.639
,4.982,31.728,83.378,159.383,4.415
,6.152,26.996,95.448,83.882,4.797
,-9.022,24.033,89.337,160.964,3.218
,-9.13,30.423,87.634,187.144,3.559
,25.347,39.553,88.231,124.73,9.766
,32.207,41.079,85.371,75.869,5.824
,31.028,39.67,95.516,44.605,5.437
,31.264,47.012,97.036,22.379,7.042
,19.665,33.861,77.011,149.06,9.929
,13.028,36.826,85.625,126.234,4.797
,18.59,50.072,76.331,176.081,3.99
,25.11,53.492,80.657,148.055,5.535
,23.923,34.929,78.957,102.174,12.736
,23.212,33.975,79.379,92.281,7.084
,22.51,45.806,72.585,151.61,6.724
,12.2,33.987,79.336,168.03,13.006
,8.528,40.725,73.909,188.393,7.404
,13.982,48.182,69.379,196.754,4.609
,18.95,46.868,65.612,195.985,4.612
,20.491,50.432,67.739,146.129,8.344
,25.101,42.489,64.45,188.047,8.492
,20.257,55.868,59.74,187.745,5.761
,24.161,54.572,65.438,126.873,6.952
,26.879,48.884,69.069,141.523,12.322
,29.725,48.902,71.322,104.556,11.708
,22.492,41.317,45.71,200.871,14.986
,8.654,32.558,52.306,205.123,8.444
,11.372,50.198,54.489,171.083,8.893
,22.145,56.57,52.732,183.887,7.118
,24.399,66.992,50.214,198.629,5.879
,22.975,50.54,53.911,104.769,7.957
,16.592,42.976,69.905,125.614,2.54
,20.849,45.338,70.022,126.669,3.101
,17.294,52.304,63.106,204.894,5.039
,19.783,62.366,60.395,206.33,4.456
,19.425,38.248,74.16,38.029,16.343
,8.654,19.782,69.565,64.462,14.731
,2.714,31.381,53.801,202.267,5.941
,20.964,44.618,52.038,196.661,7.101
,23.815,55.274,46.898,215.719,9.043
,19.42,38.235,62.1,203.306,13.277
,3.902,23.675,70.174,221.562,11.285
,3.2,39.303,65.83,201.558,12.209
,3.074,14.198,56.194,222.402,11.1
,5.792,23.558,60.547,193.454,9.855
,5.324,23.455,76.775,100.1,11.147
,22.501,45.23,79.448,63.23,11.721
,7.574,31.977,82.283,96.521,9.626
,4.028,34.342,86.197,131.563,5.005
,20.484,37.881,91.194,175.886,4.518
,15.746,47.354,69.356,246.119,7.977
,20.019,43.095,70.623,77.687,6.729
,14.81,45.338,44.482,247.355,10.374
,13.622,41.079,49.387,145.219,6.056
,33.28,70.412,32.202,253.787,10.206
,22.383,59.99,59.043,254.72,6.66
,18.95,61.088,47.644,212.118,4.307
,18.842,55.274,56.468,157.572,4.916
,31.737,48.308,77.642,24.561,12.886
,28.063,32.214,96.462,160.831,12.855
,9.356,28.537,94.417,231.812,3.515
,2.714,35.508,87.785,291.923,2.462
,23.567,31.149,87.827,123.098,14.05
,19.31,30.196,83.152,215.819,4.169
,21.205,34.205,87.469,240.862,7.524
,-0.13,28.074,66.031,320.8,14.909
,-4.27,14.198,67.623,327.756,7.038
,-8.428,28.774,68.586,304.662,6.298
,15.044,31.372,94.453,125.158,6.789
,6.638,37.405,85.924,304.601,3.692
,19.546,39.065,89.98,269.47,5.154
,17.528,41.067,74.417,330.13,4.905
,23.094,40.717,73.53,332.02,6.83
,13.622,40.474,69.52,344.095,2.68
,16.232,41.551,76.33,328.921,6.171
,32.686,40.617,87.377,19.415,11.999
,31.501,44.852,76.089,296.604,9.076
,30.434,52.898,73.506,263.165,5.674
,29.604,46.058,87.582,85.521,12.507
,23.331,40.725,72.356,288.722,11.944
,15.404,37.549,63.144,365.776,10.703
,25.929,52.79,51.978,332.9,10.919
,14.09,38.827,58.337,370.233,7.302
,33.507,55.526,79.906,52.243,12.737
,22.982,42.143,72.888,213.002,19.113
,20.138,50.648,78.363,332.806,7.567
,27.471,46.76,63.404,304.193,11.841
,22.383,41.554,60.197,362.29,10.706
,19.427,53.258,65.833,316.469,9.807
,16.7,60.242,50.558,391.696,9.841
,43.925,70.88,44.753,340.148,14.916
,29.485,60.368,71.429,86.209,15.787
,18.356,51.71,39.79,424.653,8.917
,23.34,65.21,36.962,419.421,8.351
,36.469,68.882,29.567,424.979,14.232
,39.308,49.262,79.255,69.557,8.278
,39.074,70.898,75.424,357.913,7.394
,41.092,81.752,52.493,430.132,9.125
,43.214,81.158,55.158,414.654,5.761
,34.227,75.956,78.485,224.825,3.642
,44.163,81.05,75.053,333.734,6.866
,59.54,82.814,68.15,326.398,13.952
,62.258,82.238,66.234,377.33,16.432
,53.276,71.6,79.72,144.534,11.431
,52.088,57.416,95.161,84.399,6.613
,53.042,61.43,94.686,117.336,8.832
,48.056,64.256,76.173,372.141,6.59
,41.673,70.052,70.124,420.542,4.466
,38.485,79.736,52.163,489.449,3.59
,41.203,81.518,56.784,458.877,4.442
,56.102,83.66,53.393,417.551,15.023
,46.418,78.908,39.251,478.185,10.354
,38.248,75.254,45.337,453.177,7.306
,56.102,66.758,77.694,129.98,11.358
,42.265,79.268,63.639,402.431,5.933
,49.964,91.346,44.868,477.139,8.358
,51.134,89.924,60.249,476.801,8.311
,56.93,90.284,56.282,496.166,10.841
,49.478,68.054,65.565,354.142,13.026
,52.214,60.836,60.627,66.784,8.499
,40.487,66.758,51.641,502.347,7.479
,35.996,66.272,49.077,517.541,11.752
,34.342,63.086,46.415,454.771,9.873
,25.821,74.084,33.562,534.695,8.874
,30.198,67.334,29.758,513.871,7.332
,26.879,61.07,29.873,486.009,7.208
,28.301,57.524,33.147,547.607,6.526
,40.026,50.666,67.876,85.331,11.656
,47.822,76.676,62.803,452.985,12.684
,42.976,63.086,93.841,59.557,7.623
,43.687,68.882,70.798,436.497,17.534
,36.826,59.414,61.717,457.325,12.319
,36.354,73.49,63.598,521.221,10.858
,50.792,71.942,63.179,540.186,6.228
0.14,42.503,64.508,86.634,106.5,10.658
0,36.945,58.352,59.32,598.22,9.715
0,39.666,73.598,44.673,498.495,11.062
0,36.707,61.304,56.628,565.034,12.721
0,30.79,70.52,47.318,607.367,5.068
0,44.636,86.738,46.894,528.189,4.92
0,54.446,90.518,36.81,562.263,9.231
0,55.058,72.41,46.145,481.123,9.458
0.3,46.184,65.228,60.143,259.571,18.211
0,43.925,60.116,82.249,392.398,7.573
0.28,44.163,51.026,95.54,68.067,6.549
0,47.696,70.52,77.031,569.986,6.51
0.35,56.336,84.488,70.122,528.567,11.954
0.01,61.664,83.66,78.931,466.723,7.68
0.52,59.18,82.814,78.437,480.357,6.544
0,63.428,88.862,77.605,455.844,7.278
0,68.648,91.238,68.497,597.991,10.259
0.98,57.524,74.912,79.369,363.02,13.634
0,48.308,68.63,56.972,548.509,9.441
0,43.095,66.506,54.916,460.175,9.51
0,39.789,69.584,58.502,647.258,5.509
0,49.244,86.018,45.556,635.507,11.087
0,50.306,72.536,52.145,526.608,12.314
0,48.308,69.098,46.958,524.368,8.095
0,47.354,75.488,42.986,601.632,3.656
0,44.762,84.002,38.271,643.573,4.554
0,53.87,85.424,35.362,636.688,9.102
0,41.554,78.908,36.533,656.446,6.494
0,56.93,90.752,35.791,598.013,13.821
0,65.912,91.004,42.967,533.718,14.771
0.34,57.848,85.658,60.211,353.713,11.61
0,50.198,70.052,67.823,540.702,10.321
0,43.806,77.846,46.336,663.87,5.343
0.01,54.104,86.972,37.908,631.232,12.706
0.32,63.32,92.66,47.95,500.57,14.339
0,52.916,72.068,80.203,417.728,8.864
0.02,52.808,73.004,78.585,288.762,9.882
0,63.554,95.486,61.804,461.454,13.679
0.12,63.662,92.876,53.065,536.327,16.563
0.37,57.29,78.566,63.106,661.626,7.608
0,54.104,75.956,48.902,658.153,7.95
0.08,48.182,67.334,68.732,322.06,6.917
0.03,43.687,60.368,82.249,290.896,9.28
0,38.959,65.804,69.697,367.715,5.433
0,43.925,81.518,49.114,685.734,5.692
0,57.65,89.456,53.94,569.913,7.695
0,63.662,88.736,49.131,672.231,7.292
0,57.758,87.89,53.376,,4.821
0,58.478,87.332,50.906,,6.055
0,67.586,85.91,51.299,,6.835
0,58.586,88.862,45.67,,8.813
0,59.9,92.516,44.105,,11.748
0.1,61.898,89.222,65.046,,10.84
0.01,53.15,81.986,54.393,,7.76
0,49.838,77.738,51.941,,5.472
0,59.306,87.566,48.274,,11.744
1.6,63.536,91.94,68.555,,11.052
0.58,60.242,74.318,91.148,,6.585
0.02,57.758,81.41,85.526,,4.252
0,60.602,90.266,72.861,,9.179
0,74.894,93.092,62.858,,11.028
0,74.426,91.328,62.901,,14.044
0.84,58.118,82.364,79.647,,10.123
0,55.634,80.564,68.546,,5.231
0,56.102,83.048,66.021,,5.942
0.43,60.71,84.362,77.79,,11.116
0,70.646,89.672,76.83,,5.997
0,70.538,85.19,77.795,,8.329
0,65.336,85.892,65.822,,11.349
0,75.254,98.312,64.238,,7.645
0,72.068,92.498,81.739,,4.598
0.06,72.77,88.25,74.705,,5.727
0,66.992,91.562,77.604,,4.272
0,67.928,92.39,71.517,,5.306
0,68.756,93.578,65.413,,5.724
0,71.006,96.89,63.846,,5.442
0,73.256,97.376,56.648,,6.375
0,75.146,99.842,53.957,,5.295
0,70.898,101.606,55.123,,4.44
0,71.258,87.08,76.689,,6.697
0,69.116,84.128,65.091,,6.564
0,64.976,89.204,60.791,,4.974
0,61.916,85.784,57.187,,4.997
0,59.54,89.204,61.432,,3.24
0,60.134,94.172,60.727,,3.488
0,68.522,95.126,61.902,,3.221
0,64.382,98.312,60.785,,3.356
0,66.632,99.5,56.422,,6.074
0,65.804,96.422,55.788,,5.252
0,68.054,100.436,54.612,,5.015
0,73.022,98.888,53.453,,4.677
0,69.242,99.608,60.685,,3.293
0,70.43,96.188,63.226,,5.182
0,68.414,98.204,54.677,,6.137
0,66.506,105.044,43.567,,5.483
0,69.008,104.216,44.006,,4.313
0,72.086,103.748,44.069,,6.16
0.08,73.85,104.684,48.159,,7.141
0,71.024,99.482,56.262,,5.352
0,60.602,87.566,59.809,,5.334
0,63.086,89.33,56.344,,9.516
0,66.506,98.888,54.156,,4.807
0,68.756,99.122,56.769,,3.72
0,63.32,98.42,57.784,,3.505
0,68.414,99.824,52.43,,5.292
0.03,68.882,94.874,61.537,,4.868
0,68.18,98.654,58.194,,5.052
0.04,57.992,82.706,64.853,,8.163
0,52.556,86.72,58.876,,4.228
0,58.118,98.888,42.496,,5.428
0,63.662,103.028,44.963,,4.391
0,66.506,97.376,57.302,,4.274
0,61.664,86.486,60.052,,8.282
0,53.744,80.69,61.311,,5.034
0.02,49.37,82.706,63.086,,4.612
0,63.554,84.362,66.6,,7.644
0,54.806,81.284,67.237,,7.055
0,49.964,88.142,61.334,,5.031
0,57.056,94.64,58.123,,7.51
0,50.306,76.892,55.51,,9.795
0,43.095,80.096,50.455,,3.964
0.08,45.23,73.256,76.607,,5.038
0,44.163,82.706,58.285,,3.386
0,48.056,91.796,48.976,,3.689
0,54.932,95.576,46.059,,4.434
0,55.886,94.172,44.227,,6.035
0,65.21,93.47,48.589,,7.209
0.21,64.742,79.502,84.486,,7.72
0.18,65.57,73.004,91.203,,5.643
0,63.32,83.534,82.939,,3.714
0,56.696,92.624,65.824,,4.312
0,60.962,96.638,50.181,,7.612
0,61.43,98.654,43.912,,9.158
0,61.304,100.778,44.849,,7.941
0,58.244,96.746,55.443,,4.781
0,64.85,92.624,63.099,,4.98
0,58.712,95.918,57.977,,5.661
0,67.1,84.83,76.084,,5.804
0,64.49,101.84,53.543,,6.135
0,54.104,88.502,46.077,,8.121
0,46.418,91.688,48.96,,7.344
0,50.9,75.254,58.85,,10.583
0,42.147,85.784,42.16,,7.764
0,42.858,77.144,52.234,,4.832
0,46.886,89.69,44.872,,10.704
0,55.04,97.358,34.879,,11.556
1.25,53.384,76.082,63.461,,10.595
0.03,49.838,69.458,73.92,,5.11
0,43.095,80.456,52.495,,6.533
0,43.925,78.44,65.603,,5.764
0,51.962,79.628,78.633,,6.079
0.05,47.354,67.46,74.86,,7.213
0,33.861,71.924,53.667,,4.684
0,45.464,93.11,40.772,,8.007
0,41.436,76.91,44.589,,5.125
0,46.292,75.596,40.649,,9.194
0,34.336,64.616,42.34,,7.784
0,29.961,70.034,46.89,,3.985
0,42.384,73.94,53.108,,4.677
0,45.104,83.894,51.141,,3.827
0,44.744,77.612,37.223,,6.1
0,37.18,77.144,38.27,,3.45
0,33.154,75.83,50.324,,3.379
0,36.232,79.034,52.297,,3.083
0,41.673,81.518,48.468,,2.717
0,40.725,72.788,58.049,,9.544
0,34.453,75.488,39.481,,4.378
0,37.656,82.238,36.72,,8.758
0.02,40.487,56.552,58.498,354.004,11.045
0,28.656,51.962,58.159,248.058,6.077
0,21.196,47.588,53.778,293.314,7.37
0,16.934,57.632,52.877,401.713,6.928
0,37.062,73.346,42.422,377.575,10.532
0,26.404,54.914,48.593,159.181,8.775
0,21.443,65.804,46.615,381.828,6.138
0,40.381,65.21,46.201,263.448,9.45
0,32.565,55.4,48.23,174.466,10.124
0.42,51.26,75.362,85.287,216.884,8.161
0.15,41.436,66.74,62.311,344.302,10.471
0,35.996,75.722,59.33,339.812,5.644
0,44.852,80.33,53.321,342.167,7.08
0.02,49.118,67.118,43.445,208.631,14.045
0.16,43.806,51.26,54.597,33.361,21.573
0.04,32.794,49.244,83.149,85.841,12.149
0,29.604,66.398,71.778,330.001,6.549
0.07,45.104,79.502,73.415,308.732,6.415
0.01,53.258,64.742,88.482,56.884,7.814
0,48.29,75.848,88.57,131.332,5.119
0,44.744,57.164,96.316,36.578,10.504
0.48,28.891,45.338,81.413,116.079,15.773
0,25.813,42.262,68.435,170.08,7.148
0,19.9,45.554,70.071,272.463,4.09
0,30.551,53.006,60.658,289.193,8.383
0,38.482,59.522,54.12,287.62,10.788
0,31.726,54.554,62.633,163.585,5.887
0,26.4,61.52,62.707,257.099,3.056
0,33.157,56.444,79.307,252.478,5.935
0,31.719,52.79,65.216,168.569,7.921
0,24.62,54.896,73.165,258.536,4.489
0.07,35.884,61.88,71.516,154.674,6.918
0.01,38.232,45.464,90.122,28.241,9.761
0,30.07,57.506,63.448,273.628,10.898
0,25.452,54.662,66.346,260.525,5.561
,35.634,67.316,56.69,253.06,6.61
,37.756,65.21,77.225,216.316,6.818
,38.692,78.314,66.88,223.435,16.573
,18.716,38.93,72.787,196.848,12.966
,16.808,41.304,58.789,251.78,8.642
,17.402,57.056,49.928,199.892,5.894
,26.519,59.288,51.187,235.948,6.337
,28.881,59.756,57.672,205.406,6.329
,19.184,56.804,69.118,237.786,5.792
,35.166,62.6,56.644,195.771,11.876
,37.998,62.618,50.5,150.828,10.369
,33.62,62.366,66.384,212.698,6.82
,26.042,63.788,63.691,225.848,5.063
,35.512,73.004,57.347,221.453,11.051
,34.437,61.538,62.331,192.976,10.69
,14.216,41.202,50.715,224.339,12.318
,13.262,48.65,50.218,138.857,7.585
,29.25,41.909,66.853,67.228,6.694
,8.168,35.164,74.207,109.962,8.332
,6.152,44.978,72.173,202.3,6.638
,11.966,49.352,66.299,201.757,5.65
,25.216,55.868,73.999,192.995,4.411
,26.987,46.994,76.565,148.017,4.976
,29.485,58.226,94.964,48.036,4.598
,25.335,64.616,82.135,173.628,5.425
,28.765,62.366,70.138,146.581,8.415
,19.076,59.648,51.727,203.615,3.405
,27.586,61.304,47.228,92.174,10.479
,38.116,50.666,49.206,38.89,9.072
,26.166,44.852,66.285,103.563,4.985
,25.101,38.709,82.111,49.682,6.35
,13.262,36.822,70.823,133.458,15.161
,2.138,29.826,58.247,198.679,7.146
,12.2,45.086,55.682,194.058,7.273
,22.271,53.492,38.619,193.427,11.956
,24.863,53.852,46.695,164.464,5.19
,16.466,57.164,,137.277,7.97
,33.26,45.356,93.597,34.804,10.01
,28.893,34.329,90.287,32.775,6.103
,24.505,31.028,96.175,62.905,6.027
,22.609,44.744,87.085,163.743,6.656
,26.636,35.758,97.303,19.928,10.566
,10.544,27.111,88.927,188.536,13.82
,1.76,31.361,84.533,197.12,3.308
,12.308,35.746,86.445,193.669,4.983
,4.262,20.473,86.543,169.19,6.517
,2.12,17.402,83.205,151.699,9.908
,0.698,11.12,79.998,149.779,11.957
,-2.614,14.666,82.688,184.351,4.593
,3.308,22.969,89.819,100.252,7.383
,15.386,21.067,90.17,137.948,7.645
,-1.066,22.491,86.284,200.29,4.856
,6.746,40.129,75.802,151.164,8.844
,11.354,23.913,85.643,71.737,8.672
,-1.552,19.521,83.3,197.24,5.028
,7.7,33.62,86.484,128.834,5.693
,9.482,30.074,85.229,151.823,7.513
,9.95,31.602,83.828,209.285,5.369
,5.918,32.097,84.323,191.75,7.362
,7.232,31.357,83.441,212.449,5.726
,14.09,36.927,78.645,156.527,6.59
,9.95,36.932,88.448,201.548,4.973
,15.746,41.54,85.15,179.092,3.33
,25.57,38.597,88.087,60.3,5.451
,25.099,49.604,94.888,91.937,8.992
,9.716,25.216,68.496,189.6,12.555
,5.918,20.356,71.952,219.458,7.448
,2.012,27.817,72.545,220.462,4.236
,7.7,35.154,74.875,214.383,6.165
,18.356,50.648,71.902,215.052,8.01
,21.308,34.453,,,3.744
,23.808,49.838,73.74,229.133,9.057
,21.54,51.584,68.35,224.637,9.021
,10.904,22.015,70.488,120.641,7.456
,6.026,15.278,,,8.293
,9.248,22.489,79.804,202.138,5.604
,7.34,29.586,76.501,231.484,9.209
,1.778,,60.401,107.005,9.103
,17.06,51.026,63.471,232.035,9.582
,34.565,41.32,,,7.403
,33.026,42.618,99.996,49.265,5.239
,29.712,37.524,91.458,35.445,12.362
,13.028,30.304,81.952,168.799,13.993
,-4.504,15.872,66.806,256.996,11.572
,-5.584,27.586,75.423,186.59,8.938
,19.31,40.141,79.93,173.232,6.921
,18.59,42.962,71.06,258.181,8.528
,21.303,36.243,86.412,71.392,8.629
,23.322,50.288,69.677,281.696,6.488
,27.824,57.164,73.808,177.122,6.953
,28.53,38.835,85.929,62.153,12.095
,24.624,33.264,87.386,110.558,7.867
,28.06,50.306,80.758,255.714,13.752
,30.299,44.28,86.258,53.957,17.14
,20.723,36.574,74.185,220.141,12.337
,17.168,48.884,66.685,289.524,6.816
,20.73,54.086,64.451,287.652,6.532
,19.769,44.852,68.552,183.037,11.365
,8.402,31.491,81.197,185.12,6.403
,1.058,34.57,82.496,172.121,6.665
,22.734,53.024,69.576,302.586,9.846
,20.493,41.076,73.241,131.046,13.575
,7.7,26.164,57.798,343.749,11.697
,4.856,24.627,60.852,123.072,9.252
,19.771,24.393,75.579,70.643,13.396
,0.716,21.879,86.294,348.295,8.75
,-4.396,34.79,82.923,356.454,4.989
,17.654,40.474,82.036,242.979,5.225
,24.975,33.026,88.592,212.986,10.341
,23.319,31.015,93.627,151.281,13.465
,23.085,37.753,76.308,309.4,14.367
,24.384,31.723,82.699,153.925,13.749
,21.436,29.48,76.149,168.034,11.689
,9.59,36.333,74.976,311.172,5.652
,25.336,40.723,77.519,238.349,10.135
,28.18,40.829,78.048,193.536,9.041
,22.966,33.145,69.865,218.3,17.119
,19.416,38.696,69.95,385.416,7.472
,23.443,51.71,66.339,365.457,11.066
,27.705,55.742,71.964,198.927,10.036
,34.209,57.992,90.757,92.1,10.591
,21.785,34.689,96.64,157.173,19.276
,13.136,30.533,79.773,401.481,9.242
,12.902,33.015,78.762,341.214,10.525
,9.482,35.508,75.822,345.641,5.205
,29.237,57.146,76.456,434.727,4.361
,31.494,57.848,82.15,308.435,5.676
,26.519,39.313,83.319,150.077,12.992
,23.326,44.852,73.416,400.137,10.311
,22.262,37.992,63.904,458.145,13.001
,19.184,51.962,56.365,377.511,8.236
,15.278,36.216,54.444,469.503,8.914
,20.493,31.617,61.553,123.449,8.316
,26.159,34.212,62.205,82.874,5.466
,27.705,37.879,78.593,178.372,9.896
,23.556,29.007,81.511,223.785,14.515
,18.122,32,81.79,204.437,12.708
,11.732,42.366,65.382,496.661,5.177
,22.739,52.43,61.986,475.163,8.513
,23.572,59.162,59.152,392.572,4.058
,27.473,69.692,47.196,471.526,7.532
,43.911,66.254,70.081,421.828,8.348
,30.54,57.884,60.196,496.029,10.459
,21.315,40.719,59.26,528.405,9.064
,18.842,52.88,51.833,494.448,4.145
0,27.829,56.912,50.074,428.92,8.61
0,23.329,63.896,56.573,500.347,7.518
0,30.43,70.664,48.535,378.092,11.459
0,41.67,70.754,50.831,402.086,10.572
0.33,35.764,73.616,61.656,268.909,7.373
0,41.434,66.632,89.308,250.025,7.223
0.81,33.145,62.258,94.707,35.261,16.357
0.08,30.54,36.464,96.987,59.817,12.13
0.02,28.648,36.111,89.161,120.474,12.99
0,27.113,41.902,77.72,294.873,12.171
0.13,22.969,56.228,70.915,389.418,9.493
0,36.817,66.866,68.92,191.77,12.065
0,31.365,45.554,66.311,205.008,8.656
0,34.327,51.962,58.169,327.262,10.861
0.71,35.04,46.274,88.684,31.032,13.78
0.28,30.187,36.813,88.055,197.397,18.045
0,25.099,45.914,59.137,557.357,12.939
0,21.556,46.76,58.988,265.979,7.672
0.31,41.664,68.63,56.986,264.664,11.728
0.66,31.728,52.322,93.702,58.776,11.75
0,25.464,38.113,72.568,369.855,14.474
0,21.087,59.99,59.95,559.037,8.533
0,25.108,70.646,50.27,588.332,8.976
0,43.803,72.878,59.824,436.018,9.452
0,37.416,70.628,76.16,435.673,6.037
0,43.092,84.596,57.454,504.693,9.032
0,51.962,85.172,54.569,456.903,6.754
0,54.68,73.022,47.813,340.125,13.634
0.59,31.858,55.04,89.793,23.627,18.831
0.53,32.212,50.432,71.214,437.692,14.647
0,30.198,49.37,65.681,499.378,13.379
0.03,34.929,43.095,91.25,83.479,16.123
0,40.606,54.572,86.517,195.263,9.107
0,48.434,67.82,74.965,485.493,5.056
0.04,40.014,74.084,77.069,438.927,5.207
0.27,54.698,67.46,83.977,217.713,6.204
0.12,52.196,66.974,90.411,291.309,9.889
0,47.228,68.882,73.277,497.307,8.283
0,35.053,60.242,42.283,694.753,12.243
0,29.84,66.74,40.66,665.685,4.354
0,44.517,84.722,44.147,631.964,9.822
0,54.806,101.624,34.373,608.095,10.638
0,60.584,84.596,32.253,661.346,10.589
0,57.29,86.378,56.619,496.716,6.723
0,57.272,86.612,58.717,631.447,7.609
0.62,60.35,84.722,68.922,490.126,10.598
0.26,56.102,76.442,87.404,282.815,7.294
0.01,55.994,75.956,70.809,549.092,12.179
0,52.448,64.742,74.994,268.686,11.929
0,50.18,60.008,81.529,213.932,11.614
0,50.774,72.518,61.368,565.837,9.179
0,48.182,74.552,57.75,454.745,11.608
0.39,56.804,79.268,77.498,427.342,10.619
0,64.382,85.064,80.424,272.43,10.092
1.35,59.162,77.018,84.912,447.32,9.552
0,59.756,79.268,78.358,619.195,6.29
0.9,62.024,76.676,88.406,218.43,11.337
0.02,55.634,76.082,83.68,408.876,10.029
0,52.43,79.97,53.471,666.82,10.65
0,51.962,63.32,74.909,277.098,13.736
0,50.18,68.27,62.11,636.797,7.111
0,47.588,75.488,61.679,692.641,10.316
0.08,58.1,73.238,82.714,267.466,6.752
0,52.916,73.364,64.367,577.289,8.346
0,53.384,72.896,64.71,474.317,7.205
0,48.308,75.128,63.484,581.661,5.029
1.86,56.93,69.116,85.567,105.692,8.256
0.02,56.102,69.818,82.631,202.129,9.982
0,52.196,78.674,80.13,657.328,5.835
0,65.318,89.798,71.884,310.908,7.096
0,59.756,86.36,66.303,669.824,9.931
0.02,53.978,77.738,71.377,432.905,5.276
0.81,60.836,89.78,76.431,409.95,10.11
0.02,65.21,81.752,79.765,394.584,6.86
0,64.742,86.126,72.644,624.118,4.503
0,60.728,88.124,56.869,663.447,4.848
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0,53.978,85.172,64.633,630.962,3.743
0,56.714,86.126,57.242,633.608,7.296
0,61.898,89.096,62.523,466.259,8.236
0,66.398,89.204,63.392,605.862,8.985
0,70.772,93.452,61.199,601.01,6.908
0.03,73.364,89.564,74.444,323.686,4.578
,72.176,95.936,66.442,626.897,5.267
0,64.742,83.642,70.647,574.073,5.653
0,61.322,86.828,63.424,643.908,6.548
,67.442,91.076,62.071,,
0,72.77,91.31,65.186,524.668,9.855
0,65.228,87.656,61.496,562.041,7.837
0,59.774,89.312,68.988,590.206,4.91
0,65.804,91.904,64.124,619.705,4.713
0,66.992,93.11,66.493,587.655,4.245
0,,,62.291,606.371,7.848
0,71.114,95.216,57.75,556.803,5.276
0,61.196,89.456,61.433,608.358,4.544
0,65.912,91.562,71.081,587.768,4.826
0,62.96,96.656,68.785,548.525,5.167
0.13,63.788,82.814,74.71,503.472,6.597
0,56.228,84.83,70.66,591.133,3.785
0.13,64.634,79.502,81.932,279.044,5.576
0.01,54.212,77.612,69.527,649.023,7.986
0,49.838,74.192,61.353,652.26,5.577
0,43.687,78.314,61.735,636.032,3.29
